Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
884631225dde1a57d7de86b34474b1e7b096bd3d878abd8b5463ce2677c6646c,2017-01,North Yorkshire Police,North Yorkshire Police,-1.072407,53.964924,On or near Parking Area,E01013383,York 010D,Investigation complete; no suspect identified
0f7ec069ece59094672c3d632af34c0732a7e98af51d58584a1d99c7c45d23de,2017-01,North Yorkshire Police,North Yorkshire Police,-1.487401,54.323767,On or near CHURCH LEA,E01027604,Hambleton 005B,Investigation complete; no suspect identified
b711d4339951853ffe39b76f5ac5b4610ba85b57717c69ecd1f2c6af0a7ef74b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.065030,53.973783,On or near MUNCASTERGATE,E01013385,York 008C,Investigation complete; no suspect identified
b2459a418ab806a778af335fdbd4836b441a181f9cd5c225549b0e525d03fcc0,2017-01,North Yorkshire Police,North Yorkshire Police,-1.692922,54.469579,On or near GLEBE COURT,E01027759,Richmondshire 001D,Further investigation is not in the public interest
3485892342ab79d05bd9b8e651a2a7a7e8cd2114d0dfdfc512f7d5f2f9202625,2017-01,North Yorkshire Police,North Yorkshire Police,-1.070444,53.966140,On or near ST JOHN'S WALK,E01013382,York 010C,Investigation complete; no suspect identified
ce370bdc8168742e332658625cc846540ecd3e556e37d9431d98091eb5cf8493,2017-01,North Yorkshire Police,North Yorkshire Police,-1.070444,53.966140,On or near ST JOHN'S WALK,E01013382,York 010C,Investigation complete; no suspect identified
81b865eaea5fbb9ac12ae8282a9e9f8978d59d75c3894733ce156baa94583cc6,2017-01,North Yorkshire Police,North Yorkshire Police,-1.095492,53.954063,On or near MOUNT EPHRAIM,E01013417,York 017E,Investigation complete; no suspect identified
d2acd98091db87dda78215878cfe0f43f3a9a6f2eb834fb9929a4feaa2a7a70d,2017-01,North Yorkshire Police,North Yorkshire Police,-0.402469,54.283981,On or near SUSSEX STREET,E01027806,Scarborough 006B,Offender given a drugs possession warning
efeafc78e5978d749d9669f08bff37eae738f24715cb3f7cf9e338b89e9b027e,2017-01,North Yorkshire Police,North Yorkshire Police,-1.080480,53.959683,On or near Shopping Area,E01033070,York 013I,Suspect charged
23e8550f88cf1ccddf4b3bc0463524a5103022d2f4c1076ef4c676984865e1e8,2017-01,North Yorkshire Police,North Yorkshire Police,-1.530736,54.003431,On or near WOODFIELD AVENUE,E01027740,Harrogate 013F,Unable to prosecute suspect
23e8550f88cf1ccddf4b3bc0463524a5103022d2f4c1076ef4c676984865e1e8,2017-01,North Yorkshire Police,North Yorkshire Police,-1.530736,54.003431,On or near WOODFIELD AVENUE,E01027740,Harrogate 013F,Unable to prosecute suspect
a624508c61ea803f4a751ad6be845da69bb2bc7d67834fdd769812594bf879d1,2017-01,North Yorkshire Police,North Yorkshire Police,-0.401577,54.287574,On or near CLARENCE ROAD,E01027847,Scarborough 006D,Suspect charged
a624508c61ea803f4a751ad6be845da69bb2bc7d67834fdd769812594bf879d1,2017-01,North Yorkshire Police,North Yorkshire Police,-0.401577,54.287574,On or near CLARENCE ROAD,E01027847,Scarborough 006D,Suspect charged
e491148e2071e1dcefa03be067ef63c450e89f35ef29f17dba76174f834d734b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.084422,53.959893,On or near Shopping Area,E01013366,York 013A,Suspect charged
e491148e2071e1dcefa03be067ef63c450e89f35ef29f17dba76174f834d734b,2017-01,North Yorkshire Police,North Yorkshire Police,-1.084422,53.959893,On or near Shopping Area,E01013366,York 013A,Suspect charged
f69586d10f4aacc1877822d0a1a40aaf93adb042c9594529845e2b3db152ce1c,2017-01,North Yorkshire Police,North Yorkshire Police,-1.118850,53.684805,On or near INTAKE LANE,E01027924,Selby 010D,Investigation complete; no suspect identified
b36739f8abc03114ad31fce518b994a5cbb8ab54bd424315b8456f79e259f7a0,2017-01,North Yorkshire Police,North Yorkshire Police,-2.018741,53.961293,On or near WATSON'S HOUSES,E01027577,Craven 005C,Unable to prosecute suspect
b36739f8abc03114ad31fce518b994a5cbb8ab54bd424315b8456f79e259f7a0,2017-01,North Yorkshire Police,North Yorkshire Police,-2.018741,53.961293,On or near WATSON'S HOUSES,E01027577,Craven 005C,Unable to prosecute suspect
37a8c0e707200fcd37b7bd19caea4eca24d5aab63edd9b3644e74597e859d0f4,2017-01,North Yorkshire Police,North Yorkshire Police,-1.053974,53.957051,On or near ALCUIN AVENUE,E01013399,York 015C,Unable to prosecute suspect
