Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
277ab53bf9054f1d1f5d671b1c926e68ab523aecd887f0fb4a9034b8a08f19a7,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
55b1d14cc86f67b21362d2a9d517cd7c875cbae6b483981d6dcf3870bb390092,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
24c05c7e0865e92c36c82d57d010b7caa4ec8aafc248372f3e7a3b8f77f74aa8,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
9a5ab9c3f0d3118b7910d2d7c6738fc4971982e5f773d9865c2fb9cd7d83bcae,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
63165490aefa20868108ff1763a5a20e2017247fa790816f5a368411f5696bcb,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
884bd51024a83d84f65445f5329b4ae7d428d40efdceeaf4728a3405bad7559e,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
c8fd4b852ae502d6f713210a0a331fc20c581d9132eb692516784567e95a2699,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
27b155c14d02fd81afd4c5a3471ebedb838db025759d4339b7172df62dc1ffae,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d9c0fc9d4a776b04c8cf210a8f97cd922a3daf7a2e44cf29634cc82c92434b8e,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
5d7899f57074d9232d75f2a2b859791a0ccfd076109878dbecb8e5479fe27aca,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
092e5ea16b34da644bf90b6e97cb46d170cdb972bc867c4ffdd1d05ae6163ea6,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d7caf40043fbe1bef92f0b4c60eca00ac0e389979fdf336ef4e0a0951f604b47,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
4ebe68ebb399104a7f42d0fb69065e0f586ced2ccb099d9e84164abac821703c,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
6eeda071a4937186dd2a7bf4e03b6062e39255c28a323bda9b85c1f7f4399bdc,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
4e8aab8c486a83f6962362cfa1001f01fa0598a2a978c8c9b8651b1999838628,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
fd6bd075ad2e72f8f77b3ae2cf8cd2764d0a1bf8085651f382d961b07989ac3b,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
91fc5022842cb6826167fd97b1d4adec825b44f94bee8f5da935c997276c0817,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
8c72879cd38f85208058fb3cbb22c4be8ed801041e6a00f20837fa09e4280a99,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f7e6996173c6f30d9e7597dd16c198121d2455c2438217225ee794f4c70124af,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
2396b4b9fea7828f11c20a810ec205892468c669e3a95241a0a0cdba8276a035,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
b540bf69711dbaf29f9b1e52918b6c5379b3ccb8dde98e72b243886184778422,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f1843e5088d5aeef8fdab3f27cc652a069dd2f284a4dca06f05f622960f9f15a,2017-01,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
