Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8021346b3a0af8ad8c894e85a133cb99c320a7824644042ba0f9d8105fc74b94,2017-01,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
4174ba5334583869405494fdaa0757fa0225159ff22d3d6c5dfd1ae237012d24,2017-01,Gwent Police,Gwent Police,,,No location,,,Suspect charged
fc2693ba498e300246d0c28e3f067f35797bbef55c8518c46749150e1e40d4ae,2017-01,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
af6d7f27e2831f32b2f43db7ec8073b34dedbe6674262801e433e3b69489161c,2017-01,Gwent Police,Gwent Police,,,No location,,,Suspect charged
e82ffe407099f115ea84903dc6012877c37c916da6a2ad570d6a2b1e2823e8e5,2017-01,Gwent Police,Gwent Police,-3.040139,51.699975,On or near Supermarket,W01001524,Torfaen 004D,Unable to prosecute suspect
28c8d827d9ff68d9a747402abeed2990115fa775183917e9711a09f85b13a8eb,2017-01,Gwent Police,Gwent Police,-3.216405,51.784232,On or near Sports/Recreation Area,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
535e734fab622bf950b98987f8703ed2372853aeb62b390599f39f239a506eea,2017-01,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
1bdeb13dd3c13c989cce5c3ae63f5c4dc7d306790917742002c16c7ea0dd050c,2017-01,Gwent Police,Gwent Police,-3.044181,51.585692,On or near RESERVOIR CLOSE,W01001671,Newport 016D,Investigation complete; no suspect identified
49bf26878dc0a3e109e48fd37f62005aeb7f0bbf57d1c09ee38c94ffd431260a,2017-01,Gwent Police,Gwent Police,-3.089980,51.611027,On or near ROWAN ROAD,W01001409,Caerphilly 016C,Suspect charged
06c22e8ccdbfa0812e81ad3d227f6090db1c300f515fee17e8a2cf83a5f33857,2017-01,Gwent Police,Gwent Police,-3.019814,51.650654,On or near REDBROOK WAY,W01001506,Torfaen 010A,Unable to prosecute suspect
41b00e25dde8386e7d71dc388e823227217df0494339c7be35d159f4fe0ef6a3,2017-01,Gwent Police,Gwent Police,-3.202250,51.657407,On or near EDGEHILL,W01001402,Caerphilly 011B,Unable to prosecute suspect
d74848c2b32b64b4e3bb882a752bd5830145495026e0dac41d5e8dc428628e66,2017-01,Gwent Police,Gwent Police,-3.005989,51.613755,On or near MALPAS ROAD,W01001655,Newport 002E,Investigation complete; no suspect identified
4d74d484afae05db2196f38a00dbefc0d862d91f13652a52d7d086da5036b1a3,2017-01,Gwent Police,Gwent Police,-2.957695,51.591941,On or near WHITSTONE ROAD,W01001608,Newport 008B,Investigation complete; no suspect identified
cbba2a63344cc0468b51f9f42066469a187fad898dd2024dbebc0a268a775a14,2017-01,Gwent Police,Gwent Police,-2.676266,51.634128,On or near BULWARK ROAD,W01001559,Monmouthshire 008A,Investigation complete; no suspect identified
8f3d69ddc5561380c9670cb126bcd6955a716872f8a86d0bfe093f4f64feb9a4,2017-01,Gwent Police,Gwent Police,-2.628972,51.482372,On or near REEDLEY ROAD,E01014714,Bristol 015F,Investigation complete; no suspect identified
5ed7607af7c7a5c26ad6b1381586459a65ad5d49641775bed1e0c5116e3f7cca,2017-01,Gwent Police,Gwent Police,-2.960301,51.611432,On or near Parking Area,W01001628,Newport 001F,Unable to prosecute suspect
83932abcfaca52520a8ad4a0f1b200d6175c4805fb041e925844390aaf1a3d0d,2017-01,Gwent Police,Gwent Police,-3.249256,51.657159,On or near PENYBRYN TERRACE,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
2a70dbeb89fe10a2cdb9407136a31fde470bedbbc1c56c6ab05a473580a24dae,2017-01,Gwent Police,Gwent Police,-3.249256,51.657159,On or near PENYBRYN TERRACE,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
851d0dc3f0cb6c4c05d0a95cee9f7e2d5c919efe8247a0fe525688172c5f559a,2017-01,Gwent Police,Gwent Police,-2.999671,51.596375,On or near CANAL STREET,W01001681,Newport 006B,Suspect charged
123cf65d397cdcc21d99264d59c3932967bf89426cfd2aa0832c2346238c01f7,2017-01,Gwent Police,Gwent Police,-3.206486,51.771620,On or near CHURCH CRESCENT,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
